Please select the sector that you’re supported on with the Social Mobility Foundation:,How often do you normally talk about science or engineering at home?,Please use one word to complete the sentence. We'd love it if each person who played the game could provide one word!  Being a scientist means ...,We see science in our everyday life,Claire Edited -Tiny Edits,"All of your personal data will be deleted when we have sent the game to you, however if you would like to be signed up to our pubic mailing list where we will let you know about events and activities related to Diamond please tick the box below and include your email. We will only send you information we think you might be interested in, and do not share the details with 3rd parties.","Data usage: The information collected in the form above will be used to provide free copies of 'Diamond the game'. Names and addresses will be shared with our printers in accordance with Diamond’s Privacy Notice in order for them to distribute the game to you. Postcodes will be anonymised and used for Diamond’s reporting on the distribution of the game, the remaining information shall be deleted following shipment of your game. It will not be used for any other purpose. Please note that the information in this form is hosted by a third-party service, provided by Vroman Systems, Inc. (“Formsite”). Formsite has signed up to the EU-U.S. and Swiss-U.S. Privacy Shield Framework. *",Date,Browser,Device,Referrer,,,,
,,,,,,I agree,2020-12-16 14:17:04,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Every day,"Brilliant m, innovative futuristic ",Yes,"Brilliant, innovative futuristic ",Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-14 17:35:27,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Open-minded,Yes,Open-minded,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-05 12:56:17,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Every day,being curious ,Yes,being curious ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-05 11:25:33,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,always wanting to find out more but accepting constructive criticism positively ,Yes,always wanting to find out more but accepting constructive criticism positively ,No I do not wish to be added to your mailing list,I agree,2020-12-02 12:52:34,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Every day,,Yes,,No I do not wish to be added to your mailing list,I agree,2020-12-02 11:02:12,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a month,intelligence.,Yes,intelligence.,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-01 21:55:55,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a week,being initiative,Yes,being initiative,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-01 19:39:17,IE,Desktop,N/A,,,,
Engineering & Physics sector,Every day,Innovation.,Yes,Innovation.,No I do not wish to be added to your mailing list,I agree,2020-12-01 17:58:00,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,,Yes,,No I do not wish to be added to your mailing list,I agree,2020-12-01 15:26:01,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Advancements ,Yes,Advancements ,No I do not wish to be added to your mailing list,I agree,2020-12-01 14:03:20,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Every day,"helping people, discover new sciences and working with sciences ",Yes,"helping people, discover new sciences and working with sciences ",Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-01 10:04:10,Chrome,Desktop,N/A,,,,
Engineering & Physics sector,Once or twice a week,being curious ,Yes,being curious ,No I do not wish to be added to your mailing list,I agree,2020-12-01 08:06:39,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Developing a better world for all.,Yes,Developing a better world for all.,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-01 00:18:47,Safari,Desktop,N/A,,,,
Engineering & Physics sector,Once or twice a week,Discovery ,Yes,Discovery ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-12-01 00:03:02,Chrome,Mobile,N/A,,,,
Engineering & Physics sector,Every day,Being a scientist means using the ordinary to create extraordinary ,Yes,Being a scientist means using the ordinary to create extraordinary ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 22:35:07,Chrome,Desktop,N/A,,,,
Engineering & Physics sector,Every day,Everything.,Yes,Everything.,No I do not wish to be added to your mailing list,I agree,2020-11-30 21:48:21,Chrome,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Excitement!,Yes,Excitement!,No I do not wish to be added to your mailing list,I agree,2020-11-30 21:35:15,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Innovative. Futuristic. Exciting.,Yes,Innovative. Futuristic. Exciting.,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 21:30:16,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a month,Ambitious ,Yes,Ambitious ,No I do not wish to be added to your mailing list,I agree,2020-11-30 21:28:49,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,An endless possibilities. Ambitious. Prosperous. Intelligence.,Yes,An endless possibilities. Ambitious. Prosperous. Intelligence.,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 21:25:06,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Every day,open-minded,Yes,open-minded,No I do not wish to be added to your mailing list,I agree,2020-11-30 21:22:40,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a year,Discussing,Yes,Discussing,No I do not wish to be added to your mailing list,I agree,2020-11-30 20:39:32,Chrome,Desktop,https://mail.google.com/,,,,
Engineering & Physics sector,Once or twice a week,Experimentation,Yes,Experimentation,No I do not wish to be added to your mailing list,I agree,2020-11-30 20:30:31,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Every day,Thinking,Yes,Thinking,No I do not wish to be added to your mailing list,I agree,2020-11-30 19:59:20,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Opportunity ,Yes,Opportunity ,No I do not wish to be added to your mailing list,I agree,2020-11-30 19:58:54,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Every day,excitement!,Yes,excitement!,No I do not wish to be added to your mailing list,I agree,2020-11-30 19:58:29,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Never,Innovation,Yes,Innovation,No I do not wish to be added to your mailing list,I agree,2020-11-30 19:41:53,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Exploring,Yes,Exploring,No I do not wish to be added to your mailing list,I agree,2020-11-30 19:40:40,Chrome,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Creative ,Yes,Creative ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 19:36:38,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,nothing,Yes,nothing,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 19:31:27,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a month,curiosity,Yes,curiosity,No I do not wish to be added to your mailing list,I agree,2020-11-30 19:14:29,Chrome,Desktop,https://mail.google.com/,,,,
Engineering & Physics sector,Once or twice a month,Discovering ,Yes,Discovering ,No I do not wish to be added to your mailing list,I agree,2020-11-30 19:05:44,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,curiosity!,Yes,curiosity!,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:53:39,Chrome,Desktop,N/A,,,,
Engineering & Physics sector,Once or twice a week,Exploring,Yes,Exploring,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:51:09,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Every day,curiosity,Yes,curiosity,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:48:56,Chrome,Desktop,N/A,,,,
Engineering & Physics sector,Every day,Creating ,Yes,Creating ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 18:33:28,Chrome,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,evolutionary,Yes,evolutionary,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:28:41,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Every day,Inspirational,Yes,Inspirational,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:27:37,Safari,Desktop,N/A,,,,
Engineering & Physics sector,,,,,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:12:21,Safari,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a month,Discovery,Yes,Discovery,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 18:09:14,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a month,intelligence,Yes,intelligence,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 18:05:34,Chrome,Desktop,N/A,,,,
Engineering & Physics sector,Once or twice a week,Innovative ,Yes,Innovative ,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:04:45,Chrome,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,hardwork,Yes,hardwork,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 18:04:41,Chrome,Desktop,N/A,,,,
Engineering & Physics sector,Once or twice a month,discovery,Yes,discovery,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:04:41,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Resilience,Yes,Resilience,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:01:51,Chrome,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,discovery,Yes,discovery,No I do not wish to be added to your mailing list,I agree,2020-11-30 18:01:43,Chrome,Mobile,N/A,,,,
Engineering & Physics sector,Every day,Saving,Yes,Saving,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:58:21,Chrome,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Passion,Yes,Passion,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:54:22,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Every day,Adventure ,Yes,Adventure ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:50:04,Chrome,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Freedom,Yes,Freedom,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:49:16,Chrome,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Pioneering!,Yes,Pioneering!,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:48:03,Safari,Mobile,N/A,,,,
,,,,,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:46:43,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Never,exploration,Yes,exploration,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:46:33,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Every day,Everything ,Yes,Everything ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:45:58,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,,Yes,,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:42:32,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Intuition,Yes,Intuition,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:41:17,IE,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Innovation,Yes,Innovation,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:41:17,Chrome,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a month,curiosity,Yes,curiosity,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:41:15,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Every day,Understanding,Yes,Understanding,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:39:59,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a month,Logical,Yes,Logical,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:39:22,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,commitment ,Yes,commitment ,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:36:54,Safari,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Imagination ,Yes,Imagination ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:36:50,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Every day,awnsering unawnsered questions,Yes,answering unanswered questions,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:36:00,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a month,surprises ,Yes,surprises ,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:34:51,Chrome,Desktop,N/A,,,,
Biology & Chemistry sector,Every day,Everything ,Yes,Everything ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:34:48,Safari,Mobile,N/A,,,,
Engineering & Physics sector,Once or twice a week,Fun,Yes,Fun,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:33:41,Chrome,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,Curiosity ,Yes,Curiosity ,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:33:10,Safari,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a week,being able to be a part of the new breakthroughs in science,Yes,being able to be a part of the new breakthroughs in science,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:32:29,Safari,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a week,educating ,Yes,educating ,No I do not wish to be added to your mailing list,I agree,2020-11-30 17:32:09,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a month,,Yes,,,I agree,2020-11-30 17:31:00,Safari,Mobile,N/A,,,,
Biology & Chemistry sector,Once or twice a week,learning,Yes,learning,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:30:43,IE,Desktop,N/A,,,,
Biology & Chemistry sector,Once or twice a month,everything,Yes,everything,Yes I would like to be added to your public mailing list and include my email below,I agree,2020-11-30 17:30:15,Safari,Desktop,N/A,,,,
2,3,7,3,,,,,,,,,,,
37,12,59,,,,,,,,,,,,
34,36,,,,,,,,,,,,,
,19,,,,,,,,,,,,,
,2,,,,,,,,,,,,Please select the sector that you’re supported on with the Social Mobility Foundation:,
,1,,,,,,,,,,,,Biology & Chemistry sector,37
,,,,,,,,,,,,,Engineering & Physics sector,34
,,,,,,,,,,,,,Did not respond,2
Please select the sector that you’re supported on with the Social Mobility Foundation:,How often do you normally talk about science or engineering at home?,Please use one word to complete the sentence. We'd love it if each person who played the game could provide one word!  Being a scientist means ...,We see science in our everyday life,,,,,,,,,,How often do you normally talk about science or engineering at home?,
"37 said ""Biology & Chemistry sector""",,,70 said Yes,,,,,,,,,,Every day,19
"34 said ""Engineering & Physics sector""",3 did not respond,,3 did not respond,,,,,,,,,,Once or twice a week,36
2 did not respond,,,,,,,,,,,,,Once or twice a month,12
,,,,,,,,,,,,,Once or twice a year,1
,,,,,,,,,,,,,Never,2
,,,,,,,,,,,,,Did not respond,3
,,,,,,,,,,,,,We see science in our everyday life,
,,,,,,,,,,,,,Yes,70
,,,,,,,,,,,,,Did not respond,3