Would you be a scientist or engineer?,Would you be a scientist or engineer?,I see science in my daily life,I see science in my daily life,I like science,I like science,Being a scientist means,Being a scientist means,Being a scientist means,Did you have fun?
Before playing,After playing,Before playing,After playing,Before playing,After playing,Before playing,After playing,No replies,
No,No,No,Yes,No,Yes,Potions,"Learning
Experiment
Scientist",,Yes
Yes,No,No,Yes,Yes,Yes,Learning more about living things and testing things out,Experimenting,,Yes
No,No,Yes,Yes,No,Yes,Finding out things to help people and the earth,"Someone who finds fact, experiments with substances and a lot more to help with the world and the people/animals living on it",,Yes
No,No,Yes,Yes,Yes,Yes,Inventing things,To experiment and find out things,,Yes
Yes,Yes,Yes,Yes,Yes,Yes,To learn and have knowledge about science.  Scientists also experiment to try find things that the human life hasn't experimented yet.  They also discover things that happened in the past.,To help other people feel happy and relieved using science,,No
Yes,No,No,No,Yes,Yes,I think being a scientist means creating new things,Discovering things,,Yes
No,No,Yes,Yes,Yes,Yes,"Experimenting to find things that help humanity and studying for ages to be able to know how to do it and fix it if it goes wrong.  Key words: experimenting, theory, curiosity, knowledge, study, error, intelligent, trial, fact","Experimenting, trial, luck, error, success, study, curiosity, fact",,Yes
No,Yes,Yes,Yes,Yes,Yes,A person who finds solutions to problems and looks into thing deeply or with caution,,1,Yes
No,No,Yes,Yes,Yes,Yes,,,2,Yes
No,No,Yes,Yes,No,Yes,Getting money,Studying science,,Yes
No,Yes,Yes,Yes,No,Yes,Exploring/going deeper into things + finding things,,1,Yes
No,No,Yes,Yes,Yes,Yes,"It means to discover new things: curiosity, study, research, evidence, knowledge","Curiosity, study, research, evidence, knowledge",,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"Being able to know wha most things mean in a tecocpe, fact experiment, study, discover, eligre, intelligent",,1,Yes
No,No,Yes,Yes,Yes,Yes,"facts, creativity, discovery, knowledge, error, trial",discovering and learning new things and using that information to find out even more new things,,Yes
Yes,Yes,No,Yes,Yes,Yes,"facts, creativity, oiscarely, knowbely",Good,,Yes
No,No,Yes,Yes,Yes,Yes,"formulas, facts, research, theory, knowledge, evidence, life, trial, error, proof, explain","discussion, working together, knowledge, work, hard, trying, good",,Yes
No,No,Yes,Yes,Yes,Yes,"facts, research, learning, knowledge, formulas, theory, evidence, proof, explain","trial and error, listening, discussing, learning, discovering, unknown, exciting, curious",,Yes
No,Yes,Yes,Yes,Yes,Yes,"You have a job to do with physics, chemistry or biology.  Intelligence, error, creativity, potions","It means creativity, intelligence, thinking, listening, engaging, learning",,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"experiments, working hard, fun, success, failure, suspense, exciting","fun, success, failure, suspense, excitement",,Yes
Maybe,Maybe,Blank,Blank,Yes,Yes,"experimenting, having fun, being creative, be careful, exciting",not everything will be correct,,
Yes,Yes,Yes,Yes,Yes,Yes,Finding out new thigs by mixing potions study discover knowledge experiencing life,magic intelligent habaraty interesting,,
No,Yes,Yes,Yes,Sort of,Yes,,,2,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"fun, research, prove wrong",,1,Yes
Yes,Yes,Yes,Yes,Yes,Blank,"discovery, study, degree, smarts, reserch, theory, evidence",,1,Yes
No,No,Yes,Yes,Yes,Yes,"knowing a lot about chemistry, biology and physics",you need to know what you are doing and doing it with passion,,No
No,Yes,No,Yes,No,Yes,studying science,,1,Yes
No,No,Yes,Yes,Yes,Yes,I think being a scientist means to discover more about life & create new things,discovering & using your brain,,No
No,No,No,No,Yes,Yes,"research, phscale indicator, curiosity, intelligence, theory, knowledge, potions, experiment",,1,No
No,No,Yes,Yes,No,Yes,"Someone who researches things, smart, experiments, discovery","Experiments, creations, discovery",,Yes
Yes,Yes,No,Yes,Yes,Yes,to ask questions and answers if know what it means to answer your question,means to think and do it and believe that you can do it,,Yes
No,No,No,No,No,No,Going to the lab and doing some experiment and trying to experiment new stuff and able to know how to use a telescope and what happens when,going to the lab and doing boring science and some experiment and trying boring old thing we know. F***,,No
Yes,Yes,Yes,Yes,Yes,Yes,"risk, discovery, teamwork, falure, success","anger, joy, excitement",,Yes
No,Blank,No,Blank,No,Blank,"Doing fun experiments, working hard everyday, and finding out and new stuff all the time",it was okay I found it a bit tricky it was kinda hard,,No
No,Blank,Yes,Blank,No,Blank,"making medicines, research, evidence",,1,
No,Yes,Yes,Yes,No,Yes,"degree, intelligent, discover, invent, research, explosion",,1,Yes
No,Yes,Yes,Yes,Yes,Yes,"discover, degree, intelligent, life, evidence, research","challenge, extreane",,Yes
Yes,Yes,Yes,Yes,Yes,Yes,you're clever and know how stuff work.,learning about experiments and the world and how it works,,Yes
Yes,Yes,Yes,Yes,No,Yes,I don’t know,science means doing experiments,,Yes
No,Blank,Yes,Blank,Yes,Blank,"discover, learn, theory",,1,
No,No,Yes,Yes,Yes,Yes,being a scientist means researching and helping the economy and the people/things on it,it means findinoling out important things that can change the economy and the people in it,,Yes
No,No,Yes,Yes,No,Yes,learn what a scientist does,learning what a scientist does and why there are.,,Yes
Yes,Yes,Yes,Yes,Yes,No,finding out things that humans cant find,,1,Yes
Yes,Yes,Yes,Yes,Yes,Yes,discovering and experimenting new stuff,discovering and experimenting new stuff,,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"discovering and experiments, new stuff","discovering and experiments, new stuff",,No
Yes,Yes,Yes,Yes,No,Yes,Experimenting new stuffs and discover things,I felt like I was a scientist,,Maybe
No,No,Yes,Yes,No,No,finding out information and using it to help others and the world,,1,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Discovering new things in everyday actions or things,Discovering new things in everyday actions or things,,Yes
No,No,Yes,Yes,Yes,Yes,making posions,making posions,,we didn't really understand the game
No,Yes,Yes,Yes,Yes,Yes,I don’t know,helping people to achieve good in life :-),,Yes
No,Yes,Yes,Yes,Yes,Yes,I don’t know,helping people and the environment to achieve good things in life,,Yes
No,Maybe,Yes,Blank,No,A little bit,you are interested in finding out new things,,1,Yes
Yes,Blank,Yes,Yes,Kinda,Yes,exploring different places,"destiny, lowe, this binds",,Yes
No,No,Yes,Yes,Yes,Yes,"safety, trial and error, precision","great mind, DNA, info",,Yes
No,Blank,No,Blank,No,Blank,"doing fun experiments, working hard every day and finding out and new stuffs all the time ",,1,Yes
No,No,Yes,Yes,Yes,Yes,making posions,making posions,,we didn't really understand the game
No,Yes,Yes,No,No,Yes,"writing too bad to decipher, sorry","writing too bad to decipher, sorry ",,Yes
No,No,Yes,No,Yes,No,"discover, experience, creativity, curiosity",,1,No
Yes,Blank,Yes,Blank,Yes,Blank,"discover life, smart, curious, research, evidence, theory",,1,Yes
No,Yes,No,Yes,Yes,Yes,"facts, experiments, discover, smart, degree, curiosity, intelligient","experiments, degree, intelligent",,Yes
Yes,Yes,Yes,Yes,Yes,Yes,studying or helping people with stuff that has been disborerd,"Studying, experimenting, eamiderci",,Yes
Yes,don’t know,Yes,Yes,Yes,Yes,having a good amount of knowledge will help,science is about thinking and life,,Yes
Yes,Yes,Yes,Yes,Yes,Yes,having a broad amount of knowledge to help you,science is fun and full of logic,,Yes
No,No,Yes,Yes,Yes,Yes,,,2,
Yes,Yes,No,No,Yes,Yes,to discover trial error,to discover trial error,,Yes
No,Yes,No,Yes,No,Yes,doing experiments,anything,,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"Experiment, discover, chemistry, physics, biology, study, smart, invent, curious, research, theory, knowledge, error, trial","experiment, success, falure",,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"life, experiments, mistakes, intelligent, curious, inventive, inspirational","errors, failures, trying again, success",,Yes
Yes,Yes,Yes,Yes,No,No,being creative and reliable is the meaning of being a scientist,being creative and reliable is the meaning of being a scientist,,No
Yes,Yes,Yes,Yes,Yes,Yes,"life, knowledge, potions, smart, experiments","very interesting, amazing",,Yes
No,No,Yes,Yes,Yes,Yes,"smart, experiment, elements, cells, chemicals, engineer","smart, invention, experiment, cells, chemicals, discovery, elements",,Yes
No,No,Yes,Yes,Yes,Yes,"facts, experiments, smart, potions, debate","facts, jmfo-data, smart, questions",,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"doing science, discovery -> debate, creativity, study, potions",doing experiments,,Yes
No,No,Yes,Yes,Yes,Yes,"experimentation, elements, chemicals, inventor","inventing, imagination, determination",,Yes
Yes,Yes,Yes,Yes,Yes,Yes,someone who does cool experiments with lots of cool stuff,someone who conducts experiments and sometimes make ground breaking discoveries,,Yes
No,No,Yes,Yes,Yes,Yes,it means being curious about the world around us and doing experiments to find things out,it means to be curious and carry out experiments to find out.,,Yes
No,No,Yes,Yes,Yes,Yes,people who study the science of life,people who help research about the study of life by experimenting and trial,,Yes
No,No,Yes,Yes,Yes,Yes,being a scientist means to find out things,being a scientist means to find out things,,
No,No,No,No,Yes,Yes,doing experiments while learing new things,doing experiments while learing new things,,Yes
No,Yes,Yes,Yes,Yes,Yes,"experimenting, studying, life","experimenting, studying, cooperation",,Yes
No,No,Yes,No,No,No,working hard,play hard,,No
No,No,Yes,Yes,No,Yes,"scientist means to me, someone who",being a scientist means someone who researchs everything important,,Yes
No,No,Yes,Yes,No,No,someone who discovers and research new information,,1,Yes
Yes,Yes,Yes,Yes,Yes,Yes,"experimenting, learning new boundaries, knowing things you didn't before","to recover from disasters.  To not give up, to keep pushing through no matter how many failures you get",,No
No,No,Yes,Yes,No,its okay,that you are smart and a good person at science,"smart, knowledge, science, potions",,a little
Yes,Yes,Yes,Yes,Yes,Yes,"intelligent, discover, smart, curiosity, experiment",,1,Yes
No,Yes,Yes,Yes,No,No,"being a scientists having facts, experience & experience, experiments, creativity & curiosity",,1,No
Yes,No,Yes,Yes,sometimes I don’t,no/kinda,"experiments, learning, information, potions","experiments, DNA, species, help people",,Yes
No,No,Yes,Yes,Yes,Yes,"some experiments are boring stuff.  Experiments, facts, discover, potions, degree, curiousity, research, evidence, knowledge",experiments\the same as before,,Yes
No,Yes,Yes,Yes,No,Yes,"knowing how to be able to deal with many chemicals, words, potions, study, discover chemicals",to study discover chemicals lab potions fun,,Yes
No,No,No,Blank,No,kind of,"to make posions, explore and teach space, measurments and power","Posions, explore, smart, dig, believe, achieve",,Yes
or,No,Yes,Yes,Yes,Yes,"reseach, st Lioly, knowledge","experiment, action",,Yes
No,Yes,Yes,Yes,Yes,Yes,discovering about the world,responsibility,,Yes
No,No,No,No,blank,still the same,"being smart, facts, experiment, potions, risky, mixture, degree, curiosity, debate, intelligence",,1,Yes
No,No,No,No,blank,still the same,"smart, facts, experiment, potions, mixture, degree, curiosity, debate, intelligence",,1,Yes
No,No,Yes,Yes,No,no,to explore the world around you (and disagreeing),making ground breaking achievements,,Yes
Yes,Yes,No,Yes,Yes,Yes,"experiment, smart, theory, trial + error","Trial and error, experiments, theory",,Yes
No,No,No,No,Yes,Yes,"it means: engineer, smart, helpful, mathematics","engineer, helpful, smart",,No
No,No,No,No,No,no,idk=I don’t know,,1,No
No,No,Yes,Yes,No,no,to learn new stuff about something,I learnt that science is doing experiments and learning something new,,No
No,No,Yes,Yes,Yes,Yes,to save lives and discover new stuff,to experiment and find out and discover and solve problems and save lives,,No
Yes,Yes,Yes,Yes,Yes,Yes,studying how living things and other things such as technology work,"studying and solving problems, experiment and discovering ",,yes and no
No,Blank,Yes,Blank,No,no,making and inventing things,"working hard, having fun and going through some difficulties ",,yes
No,Blank,No,Blank,No,Blank,doing fun experiments.  Also working hard every day and finding out new stuff all the time.,it is fun I don’t have a different opinion for playing,,No
No,No,Yes,Yes,Yes,Yes,working out things and how they work/are manufactured,finding things out and how things work,,yes
No,No,Yes,Yes,Yes,Yes,looking at think and how they work,finding things out.,,yes
No,No,Yes,Yes,Yes,Yes,looking at things and how they work/manufactured.  How the world and its inhabitants work and lor live.,finding things out,,yes
No,Blank,Yes,Yes,No,Blank,to create something,,1,
No,Blank,Yes,Yes,No,Blank,to create something,,1,
Yes,Blank,Yes,Blank,Yes,Blank,discovering more about the world and humans around us,,1,
Yes,Yes,Yes,Yes,Yes,Yes,Learning more about living things and testing things out,discovery,,yes
No,No,kind of im not sure,im not sure,No,Yes,,im not entierly sure,1,yes
